category,Precision,Recall,F1
genre,0.9219512195121952,0.8709677419354839,0.895734597156398
artist,0.9375,0.7568807339449541,0.8375634517766498
period,0.9375,0.8571428571428571,0.8955223880597014
context,0.8717948717948718,0.796875,0.8326530612244898
moment,0.9107142857142857,0.9714285714285714,0.9400921658986174
top,0.8461538461538461,0.873015873015873,0.859375
event,0.7596153846153846,0.9404761904761905,0.8404255319148936
person,0.823076923076923,0.9553571428571429,0.884297520661157
mood,0.7763157894736842,0.8613138686131386,0.8166089965397924
